ID,Company,Year,Records Exposed,Sector,Breach Type,Source Link,Attack Type,Time
1,21st Century Oncology,2016,"22,00,000",healthcare,hacked,https://www.linkedin.com/jobs/view/930124877/?refId=d3493ec8-privateid.37f8-4218-92b2-4656b383a955&trk=eml-jymbii-organic-job-card&midToken=serverattack/AQHBnYxQHAJchw&trkEmail=eml-jobs_jymbii_digest-null-4-null-null-9xzoen~joem4ler~uj-null-jobs~view&lipi=urn%3Ali%3Apage%3Aemail_jobs_jymbii_digest%3BCxmcCwrxR62ABhqSrl2dYA%3D%3D,Man-in-the-middle (MitM) attack,1:00 AM
2,Accendo Insurance Co.,2011,"1,75,350",healthcare,poor security,https://www.bayt.com/en/job-seekers/create-account/?url_id=1&utm_medium=associate&utm_source=walkinu/2F4/pdates%2ecom+1880861/tcpoffset,Phishing and spear phishing attacks,2:00 AM
3,Adobe Systems,2013,"15,20,00,000",tech,hacked,https://www.google.co.in/search?ei=9pzSW4rJA8zWvgSzuYDwBg&q=brainmagic+infotech+NLOM]pvt+ltd+glassdoor&oq=Brainmagic+Infotech+Pvt+Ltd%2/NTP/9&gs_l=psy-ab.1.0.0i71k1l4.0.0.0.709767.0.0.0.0.0.0.0.0..0.0....0...1c..64.psy-ab..0.0.0....0.YV8QKntrcq4,Drive-by attack,3:00 AM
4,Advocate Medical Group,2013,"40,00,000",healthcare,lost / stolen media,https://stackoverflow.com/questions/43727583/expected-string-or-bytes-like-object/ECSID/getmonlist,Password attack,4:00 AM
5,AerServ (subsidiary of InMobi),2018,"75,000",advertising,hacked,https://www.google.co.in/search?q=python+free+online+course+certification&oq=p&aqs/2F4=chrome.0.69i59j69i60l4j69i57.2378j0j7&sourceid=c/tcpoffset/hrome&ie=UTF-8,SQL injection attack,5:00 AM
6,"Affinity Health Plan, Inc.",2009,"3,44,579",healthcare,lost / stolen media,http://localhost/phpmyadmin/index.php?token=27a2ceb5cb82727c1f0b63f93f1d0c4f#PMAURL-/x25/NLOM;2:sql.php?db=malware_detection&table=user_malware_recogition_model&server=1&target=&token=27a2ceb5cb82727c1f0b63f93f1d0c4f,Cross-site scripting (XSS) attack,6:00 AM
7,Ameritrade,2005,"2,00,000",financial,lost / stolen media,https://realpython.com/pypi-publish-python-package/ECSID/ICMPID,Eavesdropping attack,7:00 AM
8,Ancestry.com,2015,"3,00,000",web,poor security,https://mail.google.com/mail/u/0/#inbox/ECSID/getmonlist,Birthday attack,8:00 AM
9,"Ankle & Foot Center of Tampa Bay, Inc.",2010,"1,56,000",healthcare,hacked,https://www.linkedin.com/jobs/view/927854395/privateid/?refId=d3493ec8-37f8-4218-92b2-4656b383a955&trk=eml/ipid-jymbii-organic-job-card&midToken=AQHBnYxQHAJchw&trkEmail=eml-jobs_jymbii_digest-null-2-null-null-9xzoen~joem4ler~uj-null-jobs~view&lipi=urn%3Ali%3Apage%3Aemail_jobs_jymbii_digest%3BCxmcCwrxR62ABhqSrl2dYA%3D%3D,Teardrop attack,9:00 AM
10,Anthem Inc.,2015,"8,00,00,000",healthcare,hacked,http://127.0.0.1:8000/user/userpage/ECSID/getmonlist,Man-in-the-middle (MitM) attack,10:00 AM
